% Model:              poly_cp_WithResults.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 21 2021, 10:33
% Dimension:          3
% Nodes:              7402
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Color
3.2047901455318646E-7     3.0E-8                   2.0834544665076242E-7    -3.168451673956737E-13
2.886107966182398E-7      3.0000000000000004E-8    1.6355265607907342E-7    -8.363015095929133E-14
2.7419165617933643E-7     3.0E-8                   2.0313927791486822E-7    -4.0646780043603336E-13
4.5934108967473656E-7     3.0E-8                   2.23963952858445E-7      -9.829903979085248E-14
4.5560465380484337E-7     3.0000000000000004E-8    1.34378371715067E-7      5.684098766243896E-13
4.8747287173979E-7        3.0E-8                   1.7917116228675603E-7    3.1578758761780153E-13
4.837364358698969E-7      3.0000000000000004E-8    8.958558114337802E-8     9.867708754034112E-13
5.156046538048435E-7      3.0E-8                   1.34378371715067E-7      7.346249944339016E-13
5.118682179349503E-7      3.0000000000000004E-8    4.479279057168901E-8     1.409882653589879E-12
5.43736435869897E-7       3.0E-8                   8.958558114337802E-8     1.1582131806574477E-12
5.718682179349505E-7      3.0E-8                   4.479279057168901E-8     1.5865521462884404E-12
4.237364358698967E-7      3.0000000000000004E-8    8.958558114337802E-8     8.217364996713512E-13
4.518682179349502E-7      3.0000000000000004E-8    4.479279057168901E-8     1.2396210904132947E-12
3.9186821793495E-7        3.0000000000000004E-8    4.479279057168901E-8     1.075767456758686E-12
2.1995472285966997E-7     3.0E-8                   4.940885300406618E-7     -2.6942584940258336E-12
1.6496604214475247E-7     3.0E-8                   4.605663975304966E-7     -2.6117983307426752E-12
2.1995472285966997E-7     3.0E-8                   4.3408853004066156E-7    -2.287577609098107E-12
1.0997736142983499E-7     3.0E-8                   4.2704426502033144E-7    -2.5205558634631254E-12
1.6496604214475247E-7     3.0E-8                   4.0056639753049636E-7    -2.190000443705569E-12
5.4988680714917494E-8     3.0E-8                   3.9352213251016625E-7    -2.4205310921871864E-12
1.0997736142983499E-7     3.0E-8                   3.670442650203312E-7     -2.0836409743166413E-12
5.4988680714917494E-8     3.0E-8                   3.3352213251016603E-7    -1.9684992009313233E-12
1.6496604214475247E-7     3.0E-8                   5.205663975304969E-7     -3.04143894974884E-12
1.0997736142983499E-7     3.0E-8                   4.870442650203317E-7     -2.9653134845786695E-12
5.4988680714917494E-8     3.0E-8                   4.5352213251016647E-7    -2.8804057154121085E-12
1.0997736142983499E-7     3.0E-8                   5.470442650203318E-7     -3.417913837663272E-12
5.4988680714917494E-8     3.0E-8                   5.135221325101666E-7     -3.34812307060609E-12
5.4988680714917494E-8     3.0E-8                   5.735221325101669E-7     -3.823683157769132E-12
2.7494340357458746E-7     3.0E-8                   4.676106625508267E-7     -2.376372470494253E-12
2.1054690170584976E-7     3.0E-8                   3.80153019366291E-7      -1.90657696294038E-12
2.6553558242076726E-7     3.0E-8                   4.136751518764562E-7     -1.9894383526471826E-12
2.0113908055202954E-7     3.0E-8                   3.262175086919205E-7     -1.5318538681963379E-12
2.56127761266947E-7       3.0E-8                   3.5973964120208564E-7    -1.6087817862137983E-12
1.9173125939820935E-7     3.0E-8                   2.7228199801754994E-7    -1.1634083248659849E-12
2.4671994011312683E-7     3.0E-8                   3.0580413052771513E-7    -1.2344027711941017E-12
2.3731211895930664E-7     3.0E-8                   2.5186861985334457E-7    -8.663013075880921E-13
1.5555822099093228E-7     3.0E-8                   3.4663088685612586E-7    -1.814933269237185E-12
1.4615039983711206E-7     3.0E-8                   2.926953761817553E-7     -1.4461436461824874E-12
1.0056954027601477E-7     3.0E-8                   3.1310875434596066E-7    -1.7145072715376005E-12
3.0241511964079705E-7     3.0E-8                   3.6494580993797987E-7    -1.5208718765286795E-12
3.118229407946173E-7      3.0E-8                   4.188813206123504E-7     -1.904895004720268E-12
3.392946568608269E-7      3.0E-8                   3.162164679995035E-7     -1.0602367902268278E-12
3.4870247801464714E-7     3.0E-8                   3.7015197867387405E-7    -1.4413489287629358E-12
3.761741940808567E-7      3.0E-8                   2.6748712606102716E-7    -6.075330937416301E-13
3.855820152346769E-7      3.0E-8                   3.2142263673539767E-7    -9.857342426222559E-13
4.2246155245470677E-7     3.0E-8                   2.726932947969214E-7     -5.380509462982277E-13
2.9300729848697686E-7     3.0E-8                   3.110102992636093E-7     -1.143126299750777E-12
3.298868357070067E-7      3.0E-8                   2.62280957325133E-7      -6.854022031044076E-13
2.835994773331566E-7      3.0E-8                   2.5707478858923875E-7    -7.716582743865619E-13
4.939936145676857E-8      0                        6.33249450948676E-7      -4.193134931869946E-12
